Symbol,Name,Country,Sector,Industry
AAMC,Altisource Asset Management Corp Com,United States,Finance,Investment Managers
AAU,Almaden Minerals Ltd. Common Shares,Canada,,
ACU,Acme United Corporation. Common Stock,United States,Consumer Discretionary,Home Furnishings
ADRA,Adara Acquisition Corp. Class A Common Stock,United States,Industrials,Consumer Electronics/Appliances
ADRT,Ault Disruptive Technologies Corporation Common Stock,,Industrials,Consumer Electronics/Appliances
AE,Adams Resources & Energy Inc. Common Stock,United States,Energy,Oilfield Services/Equipment
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,United States,Finance,Finance/Investors Services
AGE,AgeX Therapeutics Inc. Common Stock,,Health Care,Biotechnology: Pharmaceutical Preparations
AIM,AIM ImmunoTech Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,United States,Finance,Investment Managers
AIRI,Air Industries Group Common Stock,United States,Industrials,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,China,Consumer Discretionary,Service to the Health Industry
AMPE,Ampio Pharmaceuticals Inc.,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AMS,American Shared Hospital Services Common Stock,United States,Health Care,Medical Specialities
APT,Alpha Pro Tech Ltd. Common Stock,Canada,,
AREN,The Arena Group Holdings Inc. Common Stock,,Technology,Interactive Media
ARMP,Armata Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),Canada,,
ASXC,Asensus Surgical Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AUMN,Golden Minerals Company Common Stock,United States,Basic Materials,Precious Metals
AUST,Austin Gold Corp. Common Shares,,,
AWX,Avalon Holdings Corporation Common Stock,United States,Utilities,Environmental Services
BATL,Battalion Oil Corporation Common Stock,,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,United States,Finance,Finance/Investors Services
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,United States,,
BDL,Flanigan's Enterprises Inc. Common Stock,United States,Consumer Discretionary,Restaurants
BGI,Birks Group Inc. Common Stock,Canada,,
BHB,Bar Harbor Bankshares Inc. Common Stock,United States,Finance,Major Banks
BHM,Bluerock Homes Trust Inc. Class A Common Stock,,Real Estate,Real Estate Investment Trusts
BKTI,BK Technologies Corporation Common Stock,United States,Technology,Radio And Television Broadcasting And Communications Equipment
BMTX,BM Technologies Inc. Common Stock,,Technology,EDP Services
BRBS,Blue Ridge Bankshares Inc. Common Stock,,Finance,Commercial Banks
BRN,Barnwell Industries Inc. Common Stock,United States,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),Canada,,
BTTR,Better Choice Company Inc. Common Stock,,Consumer Discretionary,Food Distributors
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),Israel,Health Care,Biotechnology: Pharmaceutical Preparations
CCEL,Cryo-Cell International Inc. Common Stock,United States,Health Care,Managed Health Care
CCF,Chase Corporation Common Stock,United States,Consumer Discretionary,Paints/Coatings
CEI,Camber Energy Inc. Common Stock,United States,Energy,Oil & Gas Production
CET,Central Securities Corporation Common Stock,United States,Finance,Finance/Investors Services
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,United States,Finance,Finance/Investors Services
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,United States,Finance,Finance/Investors Services
CIX,CompX International Inc. Common Stock,United States,Technology,Security Systems Services
CKX,CKX Lands Inc. Common Stock,United States,Energy,Oil & Gas Production
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,United States,Finance,Finance/Investors Services
